GeoType,NTAType,GeoID,Borough,Pop16plE,LFE,CvLF1E,CvEm16pl1E,CvLFUEm1E,LFArmdFE,NLF1E,CvLF2E,CvLFUEm2E,F16plE,F16plLFE,F16plCvLFE,F16plCLFEE,OChU6E,OChU6PLFE,OCh6t17E,OC6t17PLFE,Wrkr16plE,CW_DrvAlnE,CW_CrpldE,CW_PbTrnsE,CW_WlkdE,CW_OthE,CW_WrkdHmE,MnTrvTmE,CvEm16pl2E,MgBSciArtE,SrvcE,SalesOffE,NRCnstMntE,PrdTrnsMME,CvEm16pl3E,AgFFHME,ConstctnE,MnfctrngE,WhlsaleE,RetailE,TrWHUtE,InfoE,FIREE,PrfSMgAWME,EdHlthCSAE,ArtEnRAFSE,OthnotPAE,PubAdminE,CvEm16pl4E,PrvWSWrkrE,GvtWrkrE,SlfEmNIncE,UpdFmWrkrE,HH2E,HHIU10E,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,MdHHIncE,MnHHIncE,Inc_SoSecE,Inc_RtrmtE,Inc_SpSecE,Inc_CPbAE,Inc_SNAPE,Fam2E,FamIU10E,FamI10t14E,FamI15t24E,FamI25t34E,FamI35t49E,FamI50t74E,FamI75t99E,FI100t149E,FI150t199E,FamI200plE,MdFamIncE,Nfam2E,MdNFIncE,PerCapIncE,MdEWrkE,MdEMFTWrkE,MdEFFTWrkE,CvNIPop2E,HInsE,PvHInsE,PbHInsE,NHInsE,CvNIU18_2E,U18NHInsE,CNI1864_2E,CvLF18t64E,CvLFEmE,EmHInsE,EmPvHInsE,EmPbHInsE,EmNHInsE,UEmE,UEmHInsE,UEmPvHInsE,UEmPbHInsE,UEmNHInsE,NLF2E,NLFHInsE,NLFPvHInsE,NLFPbHInsE,NLFNHInsE,FamPvUE,FamBwPvE,PopPvU1E,PBwPvE,PU18PvUE,PU18BwPvE,P65plPvUE,P65plBwPvE,PopPvU2E,PvU50E,Pv50t74E,Pv75t99E,Pv100t124E,Pv125t149E,Pv150t174E,Pv175t184E,Pv185t199E,Pv200t299E,Pv300t399E,Pv400t499E,Pv500plE
NTA2020,0,BK0101,Brooklyn,33164,26053,26053,24115,1938,0,7111,26053,1938,16766,12540,12540,11534,2352,1939,2234,1768,23575,2649,445,12063,1980,1834,4604,36.9,24115,15572,2955,3469,1102,1017,24115,8,1098,679,419,2013,642,2811,1899,5927,3479,3048,1247,845,24115,19832,2058,2197,28,17487,713,633,671,941,1051,1998,1910,3580,2404,3586,111887,136530,2864,1698,611,808,1398,7252,173,87,245,383,373,866,814,1434,926,1951,123016,10235,101438,63649,66034,84828,76609,37500,34728,27977,9000,2772,4837,108,28760,25325,23410,21557,19496,2295,1853,1915,1446,741,713,469,3435,3164,2160,1169,271,7252,412,37373,3480,4601,476,3903,767,37373,1799,597,1084,892,736,870,371,700,3218,3726,4397,18983
NTA2020,0,BK0102,Brooklyn,52924,41524,41505,38998,2507,19,11400,41505,2507,26047,19189,19170,18266,5070,3524,6233,4032,38491,3089,900,21301,3417,2321,7463,33.3,38998,24699,4662,7094,1109,1434,38998,19,1354,1108,922,3404,922,3880,4627,10283,6204,3803,1516,956,38998,33583,2680,2643,92,26955,1369,1286,1539,922,1541,2368,2117,4520,3508,7785,120986,166482,3161,1391,1405,1484,3623,12201,472,475,756,506,984,1328,1085,1809,1360,3426,112349,14754,123369,72212,71125,100000,83392,63254,60094,43317,20440,3160,11735,64,46713,40475,38101,35938,31937,4798,2163,2374,1999,1073,993,375,6238,5754,2795,3384,484,12201,1543,63211,9962,11335,2716,4806,1750,63211,4420,2459,3083,1744,2792,2485,629,935,6164,5162,4416,28922
NTA2020,0,BK0103,Brooklyn,24719,12883,12883,11909,974,0,11836,12883,974,12294,5543,5543,5182,9604,4078,14464,7168,11573,1621,682,2662,5263,331,1014,25.4,11909,4868,1940,4271,169,661,11909,23,476,550,737,1403,568,121,1145,1351,4136,840,367,192,11909,10762,734,390,23,10613,679,1032,2576,1444,1297,1139,779,778,374,515,32704,59419,2508,545,749,1742,5519,8711,492,557,2241,1187,1045,992,719,658,376,444,34139,1902,17917,13741,21915,50794,43109,46882,45554,11601,38844,1328,25146,355,17978,11886,10984,10463,3656,7601,521,902,707,150,557,195,6092,5887,1426,4869,205,8711,3820,46882,23599,24335,14279,3758,1096,46882,7610,8165,7824,3854,3017,2018,488,1099,4270,3192,1629,3716
NTA2020,0,BK0104,Brooklyn,45574,31287,31277,29084,2193,10,14287,31277,2193,24180,15307,15307,14385,3275,2417,4933,2958,28550,2372,546,17488,2173,1341,4630,37.5,29084,15333,5552,5381,1010,1808,29084,59,807,818,820,2714,951,2497,2420,6040,5537,4662,1178,581,29084,24987,2287,1701,109,22665,2162,1617,2435,1698,1536,2864,2307,3037,1958,3051,66540,96741,5113,2790,2145,1850,5135,11203,944,681,1314,1205,1057,1403,1202,1192,727,1478,58377,11462,73037,41961,50269,72096,63445,53468,49939,30586,22674,3529,9208,153,38315,30722,28642,26315,22366,4568,2327,2080,1847,996,929,233,7593,6870,1850,5365,723,11203,2595,53374,13537,8704,4021,5945,1276,53374,6760,2279,4498,3033,2134,1900,813,674,5542,5357,4949,15435
NTA2020,0,BK0201,Brooklyn,20952,15432,15420,14682,738,12,5520,15420,738,11452,8264,8264,7915,2035,1814,1983,1512,14455,576,145,7727,1876,487,3644,31.1,14682,11618,631,1926,221,286,14682,11,265,309,142,771,150,1249,2660,4429,2648,832,547,669,14682,12264,1460,958,0,11857,343,144,381,473,459,805,857,1686,1806,4903,171607,259321,2757,2337,200,159,374,5389,59,58,131,12,190,123,231,513,700,3372,200000,6468,121981,125608,100000,100000,100000,24763,24211,22294,4628,552,4573,23,16249,14078,13444,13085,12879,261,359,634,570,411,159,64,2171,2067,1717,380,104,5389,151,22884,911,4110,156,3941,297,22884,520,76,315,281,249,128,117,165,1303,793,1318,17619
NTA2020,0,BK0202,Brooklyn,31559,23939,23939,22367,1572,0,7620,23939,1572,16753,12552,12552,11825,3316,2630,3679,2852,22167,1259,171,12539,2279,1592,4327,32.8,22367,16415,2045,3276,134,497,22367,0,329,693,404,1654,469,2011,3446,5774,4847,1324,691,725,22367,19084,2195,915,173,17219,1371,479,954,795,975,1245,1162,2671,2093,5474,130750,186431,2144,1207,931,1186,2021,8303,182,172,648,356,515,559,411,1127,980,3353,159259,8916,109501,85271,88685,100000,96731,38277,37198,30642,9070,1079,7597,7,27703,23088,21721,20943,19646,1623,778,1367,1262,599,725,105,4615,4452,2671,2041,163,8303,869,37884,6059,7214,1131,2977,794,37884,3099,1236,1724,665,793,676,339,205,3224,1990,1682,22251
NTA2020,0,BK0203,Brooklyn,28904,20300,20300,18509,1791,0,8604,20300,1791,15527,10467,10467,9466,2658,2022,3707,2642,18153,1679,289,9505,2055,765,3860,36.3,18509,11443,3012,2514,581,959,18509,5,457,718,406,1339,858,1182,1730,4467,4242,1570,803,732,18509,14743,2336,1413,17,14592,1290,781,856,733,1017,1820,1143,2101,1458,3393,92474,141452,2486,1615,1223,643,2711,6593,499,193,384,403,514,869,380,902,770,1679,102517,7999,84875,60167,60655,91618,79071,34329,32933,23814,11563,1396,7147,127,23850,19483,17899,16965,14836,2443,934,1584,1472,789,734,112,4367,4172,2153,2373,195,6593,1039,33657,6238,6467,1584,3332,834,33657,3002,1481,1755,1481,991,1610,270,656,2869,2065,3044,14433
NTA2020,0,BK0204,Brooklyn,23990,17557,17542,16274,1268,15,6433,17542,1268,13766,9675,9675,8948,1948,1702,1577,1420,15856,1252,248,8872,1375,1218,2891,37.4,16274,11648,1655,2199,309,463,16274,0,375,439,370,1303,519,1579,1190,4064,3696,1398,745,596,16274,13383,1793,1094,4,12726,810,315,602,603,699,1702,1176,2493,1410,2916,107899,144392,2770,2102,542,319,990,5047,18,65,92,219,250,542,432,934,724,1771,148479,7679,81900,68993,68931,91495,86142,27317,26618,23499,5551,699,4117,0,19791,16842,15593,15064,14411,850,529,1249,1230,1023,270,19,2949,2835,2023,1107,114,5047,157,25739,2430,3535,59,3409,773,25739,952,539,939,465,262,753,157,343,1900,2460,2195,14774
NTA2020,0,BK0301,Brooklyn,69014,47655,47638,44217,3421,17,21359,47638,3421,38042,25318,25318,23414,8313,4638,13497,8427,43205,4979,590,24429,4045,2594,6568,40.1,44217,23511,7809,8445,1395,3057,44217,0,1121,1866,727,4511,2808,3771,2879,7144,10410,5120,1816,2044,44217,35548,5978,2653,38,32356,3438,1566,2434,2289,3437,4124,3523,4163,2858,4524,68009,105322,5279,2896,2477,2509,7976,16452,1523,522,1345,1240,2250,2136,1447,1973,1426,2590,65777,15904,67953,39400,45050,67541,58936,89080,83555,52431,39793,5525,23383,413,59412,46610,43343,40140,33398,8703,3203,3267,2627,1211,1566,640,12802,11590,5207,7761,1212,16452,3591,88928,23143,22313,8847,6285,1502,88928,10988,5764,6391,3953,4003,2811,1155,2172,11795,8287,7287,24322
NTA2020,0,BK0302,Brooklyn,76022,48949,48920,44884,4036,29,27073,48920,4036,41694,25183,25169,23732,5508,4168,11729,8196,44034,7477,1271,26395,1580,2123,5188,43.3,44884,20987,9789,8472,1754,3882,44884,0,1483,1004,632,4328,3762,3005,2464,7077,12767,4471,1713,2178,44884,34622,7795,2453,14,34933,3472,2215,3069,2537,3390,4518,4193,5467,2387,3685,65789,95662,8664,5361,2756,2364,7643,19554,1627,872,1531,1270,1955,2419,2558,3414,1342,2566,76006,15379,52453,37980,44834,58499,55010,91929,85562,57328,37691,6367,19369,449,61348,46823,42991,39597,33581,7683,3394,3832,3108,1600,1728,724,14525,12985,5772,8691,1540,19554,3895,91759,20405,18111,5940,11212,2212,91759,10771,5204,4430,3979,3226,2760,1020,2153,11510,11790,8919,25997
NTA2020,0,BK0401,Brooklyn,47247,35011,35011,32791,2220,0,12236,35011,2220,23330,15706,15706,14414,2437,1581,5770,3888,31694,2805,865,20159,2466,1585,3814,40.4,32791,14618,7174,5723,2178,3098,32791,11,1675,1388,830,2762,1810,2880,1638,6277,5731,5294,1931,564,32791,27654,2241,2745,151,20210,1243,804,1414,1099,1993,3007,3111,3788,2252,1499,79378,93591,2867,1327,1162,1073,3564,9192,652,338,635,1050,1289,1357,1249,1358,869,395,58493,11018,88718,35163,40130,56413,51940,54902,47265,31518,20348,7637,9098,705,42068,34124,31969,26424,21911,5268,5545,2155,1809,926,1062,346,7944,6934,3153,4700,1010,9192,1685,54825,11345,8723,3300,3736,820,54825,5616,2749,2980,2369,2723,3189,880,2059,7869,7475,5233,11683
NTA2020,0,BK0402,Brooklyn,52207,34443,34435,32208,2227,8,17764,34435,2227,27830,17054,17054,16087,3475,1950,7869,5191,31385,5140,979,19824,1679,829,2934,44.1,32208,11496,8353,6683,2421,3255,32208,5,1899,901,530,3472,2532,1608,1789,4232,7884,4522,1630,1204,32208,26268,4120,1807,13,21760,2197,1544,2356,1583,1792,3204,2966,2870,1710,1538,58615,80915,4969,2434,2128,1633,5297,12009,956,629,1590,779,1273,1677,1864,1518,909,814,58278,9751,50888,28917,36420,48190,44906,62956,57710,35742,29341,5246,12849,207,43386,33157,31027,27736,22296,7044,3291,2130,1727,877,1027,403,10229,8960,4038,6393,1269,12009,2596,62769,15284,11816,4244,6721,2699,62769,6887,3272,5125,3446,2033,3011,738,1653,10165,8413,6776,11250
NTA2020,0,BK0501,Brooklyn,32716,19576,19539,18553,986,37,13140,19539,986,17222,9531,9531,9159,3611,2140,7034,4720,18305,4599,649,10842,590,482,1143,44.2,18553,4710,5637,3726,1650,2830,18553,30,1164,436,471,2143,1770,187,978,2364,5441,1583,1414,572,18553,14999,2338,1216,0,13298,1802,457,1063,1457,1232,2280,1717,1501,850,939,56443,79881,3089,1806,1091,532,3510,9717,770,321,904,775,909,2058,1189,1387,613,791,64303,3581,27525,26468,36443,46945,41771,42683,39884,20862,22171,2799,11756,174,26289,18503,17711,16196,13210,3604,1515,792,654,251,403,138,7786,6853,1736,5256,933,9717,1658,42554,8215,11123,2924,4638,936,42554,4625,2286,1304,1628,2373,2241,754,1525,8299,5992,3603,7924
