GeoType,NTAType,GeogName,GeoID,Borough,HU1E,OcHU1E,VacHUE,HOVacRtE,RntVacRtE,HU2E,HU1uDE,HU1uAE,HU2uE,HU3t4uE,HU5t9uE,HU10t19uE,HU20pluE,MobHmE,BtRVVEtcE,HU3E,Blt10LtrE,Blt00t09E,Blt90t99E,Blt80t89E,Blt70t79E,Blt60t69E,Blt50t59E,Blt40t49E,BltBf39E,HU4E,Rms1E,Rms2E,Rms3E,Rms4E,Rms5E,Rms6E,Rms7E,Rms8E,Rms9plE,MdRmsE,OcHU2E,OOcHU1E,ROcHU1E,AvgHHSOOcE,AvgHHSROcE,OcHU3E,Mv10LtrE,Mv00t09E,Mv90t99E,MvBf89E,OcHU4E,NoVhclAvE,Vhcl1AvE,Vhcl2AvE,Vhcl3plAvE,OcHU5E,OcPR0t1E,OcPR1plE,OcPR1p5plE,OOcHU2E,VlU50E,Vl50t99E,Vl100t149E,Vl150t199E,Vl200t299E,Vl300t499E,Vl500t999E,Vl1milplE,MdVlE,OOcHU3E,HUwMrtgE,HUnoMrtg1E,HUwMrtgExE,SMPU20E,SMP20t24E,SMP25t29E,SMP30t34E,SMP35plE,SMPNtCE,HUnoMrtg2E,NMSMPU10E,NMSMP1014E,NMSMP1519E,NMSMP2024E,NMSMP2529E,NMSMP3034E,NMSMP35plE,NMSMPNtCE,OcHUPRnt1E,GRU500E,GR500t999E,GR1kt14kE,GR15kt19kE,GR20kt24kE,GR25kt29kE,GR3kplE,MdGRE,GRnoRntPdE,OcHUPRnt2E,GRPIU15E,GRPI15t19E,GRPI20t24E,GRPI25t29E,GRPI30plE,GRPI50plE,GRPINtCE
NTA2020,0,Greenpoint,BK0101,Brooklyn,19000,17487,1513,2.1,2.2,19000,294,558,2035,4459,7795,1256,2602,1,0,19000,1701,1153,282,429,700,799,1274,761,11901,19000,970,1961,5037,5668,3042,1170,324,256,572,3.8,17487,3169,14318,2.55,2.04,17487,11491,2478,1389,2129,17487,10555,5815,867,250,17487,16806,681,292,3169,63,0,57,23,65,233,806,1922,1329589,3169,1798,1371,1789,752,127,148,160,602,9,1363,555,123,139,71,45,54,376,8,13976,414,880,1613,2425,3255,2475,2914,2253,342,13761,1993,2452,2665,1391,5260,2528,557
NTA2020,0,Williamsburg,BK0102,Brooklyn,29388,26955,2433,1.8,3.7,29388,305,370,828,2439,4662,2643,18128,13,0,29388,7756,5494,1129,695,561,1491,985,1175,10102,29388,2383,5166,9034,6965,4099,1109,298,261,73,3.3,26955,4530,22425,2.66,2.28,26955,20291,2937,1939,1788,26955,17905,8042,792,216,26955,25138,1817,937,4530,34,67,44,34,117,386,1133,2715,1184880,4530,2826,1704,2826,1147,500,248,283,648,0,1678,987,188,98,23,80,0,302,26,22186,1441,1739,2874,2106,1431,3217,9378,2732,239,21905,3996,3057,3379,2374,9099,4380,520
NTA2020,0,South Williamsburg,BK0103,Brooklyn,11376,10613,763,0.5,1.7,11376,174,277,944,2453,1330,1866,4305,0,27,11376,769,2154,1016,504,1117,1224,583,556,3453,11376,124,254,1432,3089,2606,2340,1023,243,265,4.8,10613,1655,8958,4.93,4.31,10613,4630,2419,1184,2380,10613,7163,3283,167,0,10613,7750,2863,1033,1655,0,13,0,18,61,137,876,550,823472,1655,995,660,900,226,69,58,12,535,95,660,109,96,65,66,13,108,203,0,8546,1688,1752,1802,1353,978,712,261,1263,412,8518,947,830,426,607,5708,3705,440
NTA2020,0,East Williamsburg,BK0104,Brooklyn,23772,22665,1107,0.6,1.7,23772,293,791,1710,2825,6159,2787,9168,39,0,23772,1521,1887,948,1046,1708,3176,2815,1177,9494,23772,1574,2096,6314,8221,3562,1109,420,228,248,3.7,22665,2830,19835,2.24,2.32,22665,12397,3875,2557,3836,22665,15559,6129,903,74,22665,20909,1756,717,2830,44,0,46,33,106,215,1118,1268,939852,2830,1568,1262,1549,569,186,115,112,567,19,1249,565,296,103,42,31,11,201,13,19732,2920,2870,3615,2170,2731,1958,3468,1605,103,19288,2681,2986,2354,2013,9254,4663,547
NTA2020,0,Brooklyn Heights,BK0201,Brooklyn,12936,11857,1079,2.7,1.7,12936,267,577,344,1053,1223,1897,7564,11,0,12936,620,669,127,248,599,1300,603,458,8312,12936,1312,2065,3566,2796,1156,562,254,604,621,3.4,11857,5681,6176,2.09,1.76,11857,6900,1959,1230,1768,11857,7721,3661,385,90,11857,11547,310,166,5681,176,72,15,73,166,586,1726,2867,1015848,5681,3237,2444,3206,1792,347,219,138,710,31,2435,1497,100,165,181,153,70,269,9,6005,138,299,647,599,868,1114,2340,2702,171,5971,1559,1170,837,482,1923,1010,205
NTA2020,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,19159,17219,1940,1.3,6.3,19159,214,311,900,1041,1158,937,14578,18,2,19159,5879,3263,412,233,136,541,2287,1173,5235,19159,2684,3266,5711,4185,1921,667,219,182,324,3.1,17219,4351,12868,2.45,2.1,17219,12757,2268,794,1400,17219,12480,4237,460,42,17219,15906,1313,838,4351,44,7,46,60,41,463,1174,2516,1178458,4351,3074,1277,3053,1635,387,271,134,626,21,1269,607,223,171,10,64,80,114,8,12735,1072,1522,1015,712,976,1290,6148,2914,133,12467,2051,1930,2005,1236,5245,2538,401
NTA2020,0,Fort Greene,BK0203,Brooklyn,15788,14592,1196,0.7,2.9,15788,107,456,1095,2404,1469,1082,9126,15,34,15788,2887,982,432,337,970,782,1206,1739,6453,15788,2181,2428,3952,3445,2111,713,243,184,531,3.3,14592,3046,11546,2.51,2.23,14592,9889,1898,1338,1467,14592,10346,3796,406,44,14592,13270,1322,719,3046,38,35,46,34,50,289,1067,1487,983695,3046,2268,778,2268,1103,365,145,115,540,0,778,390,137,33,29,26,18,145,0,11425,1444,1567,1564,1057,1467,1440,2886,2026,121,11165,1772,1587,1313,1440,5053,2169,381
NTA2020,0,Clinton Hill,BK0204,Brooklyn,13832,12726,1106,1.6,2.8,13832,199,582,1219,2115,1371,1020,7326,0,0,13832,1259,415,233,481,351,721,1366,1912,7094,13832,1082,1740,4269,3198,1384,711,292,467,689,3.5,12726,5317,7409,2.22,1.85,12726,7420,2085,1328,1893,12726,7886,4222,547,71,12726,12234,492,214,5317,223,49,22,0,156,506,2569,1792,761425,5317,3562,1755,3562,1484,421,231,204,1222,0,1725,877,170,277,79,18,71,233,30,7209,438,469,803,1172,1012,1209,2106,2356,200,7187,1298,1164,1087,778,2860,1475,222
NTA2020,0,Bedford-Stuyvesant (West),BK0301,Brooklyn,35389,32356,3033,2.1,3.8,35389,340,1709,4246,9593,5958,3550,9982,11,0,35389,3340,3143,1421,1111,1470,2481,2400,3000,17023,35389,1993,3470,6739,9782,6606,2802,1513,1065,1419,4.1,32356,6736,25620,3.32,2.57,32356,20037,6470,3061,2788,32356,21810,8904,1370,272,32356,29823,2533,991,6736,175,41,17,68,84,204,1981,4166,1254139,6736,5076,1660,5007,1698,495,506,291,2017,69,1660,671,289,183,50,58,51,358,0,25451,3081,3314,4249,4349,4703,2408,3347,1738,169,24660,3277,2720,3223,3109,12331,6777,960
NTA2020,0,Bedford-Stuyvesant (East),BK0302,Brooklyn,37453,34933,2520,1,3.6,37453,594,3201,7365,9486,5634,2430,8683,60,0,37453,1633,1694,1332,1356,2201,1965,2765,1548,22959,37453,1536,1856,7587,11585,6528,3108,1711,1063,2479,4.2,34933,9543,25390,3.19,2.37,34933,19230,7896,3749,4058,34933,20960,10982,2319,672,34933,33240,1693,648,9543,272,72,273,0,126,483,2878,5439,1119281,9543,6798,2745,6742,1792,669,547,480,3254,56,2708,1394,385,203,180,68,86,392,37,24812,3216,3959,5329,4436,3024,3276,1572,1490,578,23949,3119,2657,3509,2263,12401,6395,1441
