GeoType,NTAType,GeogName,GeoID,Borough,HH1E,Fam1E,FamChU18E,MrdFamE,MrdChU18E,MHnSE,MHnSChU18E,FHnSE,FHnSChU18E,NFam1E,NFamAE,NFamA65plE,HH1plU18E,HH1pl65plE,AvgHHSzE,AvgFmSzE,HHPopE,RshpHHldrE,Rshp_SpE,Rshp_ChE,Rshp_OthRE,Rshp_NRE,Rshp_NRUPE,Rshp_SSUPE,MS_M15plE,MS_MNvMrdE,MS_MMrdSpE,MS_MSpE,MS_MWdE,MS_MDvcdE,MS_F15plE,MS_FNvMrdE,MS_FMrdSpE,MS_FSpE,MS_FWdE,MS_FDvcdE,GpLGcU18E,GpRGcU18E,Pop3plEnE,SE_NScPScE,SE_KndgtnE,SE_G1t8E,SE_G9t12E,SE_ClgGScE,EA_P25plE,EA_LT9GE,EA_9t12NDE,EA_HScGrdE,EA_SClgNDE,EA_AscDE,EA_BchDE,EA_GrdPfDE,EA_LTHSGrE,EA_BchDHE,CvPop18plE,CvVet18plE,CvNIPop1E,CvNIDE,CvNID_HrgE,CvNID_VsnE,CvNID_CogE,CvNID_AmbE,CvNID_SCrE,CvNID_ILDE,CvNIU18_1E,CvNIU18DE,CU18DHrgE,CU18DVsnE,CU18DCogE,CU18DAmbE,CU18DSCrE,CNI1864_1E,CNI18t64DE,C1864DHrgE,C1864DVsnE,C1864DCogE,C1864DAmbE,C1864DSCrE,C1864DILDE,CvNI65plE,CvNI65plDE,C65plDHrgE,C65plDVsnE,C65plDCogE,C65plDAmbE,C65plDSCrE,C65plDILDE,Pop1plE,SmHsE,DfHs1E,DfHs2E,DfHsUSE,DfHsSmCntE,DfHsDfCntE,DHDfCntNYCE,DHnoNYCE,AbroadE,Pop_4E,NtvE,NtvUSE,NtvNYSE,NtvNotNYSE,NtvPRUSAbE,Fb1E,Fb2E,EurE,NEurE,UntdKgdmE,UKnoEngScE,EngE,ScotE,IrelandE,DenmarkE,NorwayE,SwedenE,ONEurE,WEurE,AustriaE,BelgiumE,FranceE,GermanyE,NthrldsE,SwitzrldE,OWEurE,SEurE,GreeceE,ItalyE,PortugalE,SpainE,OSEurE,EEurE,AlbaniaE,BelarusE,BulgariaE,CroatiaE,CzchslvE,HungaryE,LatviaE,LthuaniaE,McdoniaE,MoldovaE,PolandE,RomaniaE,RussiaE,UkraineE,BosniaHE,SerbiaE,OEEurE,EurNECE,AsiaE,EAsiaE,ChinaE,ChNoHKTwnE,HongKongE,TaiwanE,JapanE,KoreaE,OEAsiaE,SCAsiaE,AfghanE,BngldshE,IndiaE,IranE,KzkhstanE,NepalE,PakistanE,SriLankaE,UzbkstanE,OSCAsiaE,SEAsiaE,CambodiaE,IndnsiaE,LaosE,MalaysiaE,BurmaE,PhilipnsE,SngaporeE,ThailandE,VietnamE,OSEAsiaE,WAsiaE,IraqE,IsraelE,JordanE,KuwaitE,LebanonE,SaudiArE,SyriaE,YemenE,TurkeyE,ArmeniaE,OWAsiaE,AsiaNECE,AfrE,EAfrE,EritreaE,EthiopiaE,KenyaE,OEAfrE,MAfrE,CameroonE,OMAfrE,NAfrE,EgyptE,MoroccoE,SudanE,ONAfrE,SthrnAfrE,SthAfrcaE,OSthrnAfrE,WAfrE,CaboVerdE,GhanaE,LiberiaE,NigeriaE,SierraLE,OWAfrE,AfrNECE,OceaniaE,AusNZSbRE,AustrliaE,OAusNZSbRE,FijiE,OcniaNECE,AmricasE,LAmE,CaribE,BahamasE,BarbadosE,CubaE,DominicaE,DomRepE,GrenadaE,HaitiE,JamaicaE,StVGrenE,TrAndTobE,WIndiesE,OCaribE,CAmE,MexicoE,BelizeE,CstaRicaE,ElSlvdrE,GuatmalaE,HondurasE,NicarguaE,PanamaE,OCAmE,SAmE,ArgntinaE,BoliviaE,BrazilE,ChileE,ColombiaE,EcuadorE,GuyanaE,PeruE,UruguayE,VnzuelaE,OSAmE,NAmE,CanadaE,ONAmE,Fb3E,FbNtlzdE,FbNotCznE,Fb4E,Fb2010LtrE,Pop5pl1E,EngOnly1E,LgOEng1E,LgOEnLEP1E,LgSp1E,LgSpLEP1E,LgFr1E,LgFrLEP1E,LgGrm1E,LgGrmLEP1E,LgRusPol1E,LgRsPLEP1E,LgOIEu1E,LgOIELEP1E,LgKor1E,LgKorLEP1E,LgChi1E,LgChiLEP1E,LgViet1E,LgVieLEP1E,LgTag1E,LgTagLEP1E,LgOAsn1E,LgOAnLEP1E,LgArab1E,LgArbLEP1E,LgOLg1E,LgOLgLEP1E,Pop5pl2E,EngOnly2E,LgOEng2E,LgSp2E,LgFr2E,LgGrm2E,LgRusPol2E,LgOIEu2E,LgKor2E,LgChi2E,LgViet2E,LgTag2E,LgOAsn2E,LgArab2E,LgOLg2E,LgOEnLEP2E,LgSpLEP2E,LgFrLEP2E,LgGrmLEP2E,LgRsPLEP2E,LgOIELEP2E,LgKorLEP2E,LgChiLEP2E,LgVieLEP2E,LgTagLEP2E,LgOAnLEP2E,LgArbLEP2E,LgOLgLEP2E,Pop_5E,AfgE,AlbE,AlsatnE,AmercnE,ArabE,EgyptnE,IraqiE,JrdnianE,LebaneseE,MoroccanE,PalstnianE,SyrianE,ArabSubE,OArabE,ArmenianE,AsyrChldSE,AustrlnE,AustrianE,BasqueE,BelgianE,BrzlianE,BritishE,BulgrianE,CajunE,CanadianE,CarpRusnE,CelticE,CroatianE,CypriotE,CzechE,CzechSlvE,DanishE,DutchE,EEurpnE,EnglishE,EstonianE,EuropeanE,FinnishE,FrNotBsqE,FrCandianE,GermanE,GermRusE,GreekE,GuyaneseE,HgrianE,IcelndrE,IranianE,IrishE,IsraeliE,ItalianE,LatvianE,LthianE,LuxmbgrE,MacdnianE,MalteseE,NzealndE,NEurpnE,NorwgianE,PennGermE,PolishE,PortgeseE,RomanianE,RussianE,ScandnvnE,SctchIrshE,ScottishE,SerbianE,SlavicE,SlovakE,SloveneE,SvtUnionE,SubSAfE,CvrdeanE,EthpianE,GhanaianE,KenyanE,LiberianE,NigerianE,SngleseE,SLeoneanE,SomaliE,SAfricanE,SudaneseE,UgandanE,ZmbweanE,AfricanE,OSubSAfrE,SwedishE,SwissE,TurkishE,UkrnianE,WelshE,WIndNHspE,BahamianE,BrbdianE,BelizeanE,BermudanE,BrtWIndE,DchWIndE,HaitianE,JamaicanE,TAndTobE,USVrgIsE,WIndSubE,OWIndE,YugoSlvE,OthrE,UnclsNRE,HH3E,HHCompE,HHIntE
NTA2020,0,Greenpoint,BK0101,Brooklyn,17487,7252,2604,5571,1907,481,185,1200,512,10235,5535,1491,2732,3253,2.13,2.75,37213,17487,5469,6226,1021,4645,2365,165,16482,8698,6222,278,379,905,16796,8446,5709,369,1167,1105,316,59,5339,605,371,1689,674,2000,30752,1258,1014,4446,3457,1208,12803,6566,2272,19369,32787,487,37500,2610,765,378,1027,1303,599,1022,4728,68,28,18,58,18,18,28869,1096,163,129,485,382,176,382,3903,1446,574,231,484,903,405,640,37052,30512,6540,6540,6246,3649,2597,1517,1080,294,37518,27576,26423,13818,12605,1153,9942,9942,5990,607,390,235,98,57,52,70,20,69,6,536,44,0,272,191,3,26,0,360,57,107,11,185,0,4487,0,37,59,0,81,17,45,0,0,0,3803,11,249,147,11,0,27,0,1350,378,175,123,51,1,39,164,0,435,19,131,146,6,14,0,41,0,54,24,182,0,0,0,0,0,28,22,23,109,0,355,0,149,0,0,0,0,0,10,59,0,137,0,245,48,0,0,42,6,0,0,0,84,74,0,0,10,113,113,0,0,0,0,0,0,0,0,0,324,324,220,104,0,0,2033,1748,344,0,0,79,0,149,0,0,22,49,34,0,11,663,261,0,16,47,216,117,6,0,0,741,116,0,77,30,193,191,96,38,0,0,0,285,285,0,9942,5353,4589,9942,2288,35534,23631,11903,4450,3762,994,358,29,157,6,5386,2895,1140,234,151,0,314,50,11,0,18,12,173,35,136,93,297,102,35534,23631,11903,3762,358,157,5386,1140,151,314,11,18,173,136,297,4450,994,29,6,2895,234,0,50,0,12,35,93,102,37518,25,6,0,970,311,94,0,0,100,0,110,0,0,7,90,0,190,245,12,64,54,384,122,0,133,0,13,57,0,128,50,80,518,583,2620,7,834,6,1019,281,3090,0,519,48,393,0,96,4716,50,3683,70,103,0,13,0,29,56,324,0,6950,192,78,1006,111,393,824,16,0,186,45,21,69,0,0,19,1,0,8,0,0,0,41,0,0,0,8,0,817,137,157,304,95,284,0,0,0,0,49,0,28,110,30,0,67,0,0,9844,6426,17487,16441,15969
NTA2020,0,Williamsburg,BK0102,Brooklyn,26955,12201,4703,8726,3317,961,434,2514,952,14754,8575,1259,5223,3541,2.34,3.19,63079,26955,9142,14809,2763,5873,3537,278,27022,15288,9768,390,146,1430,26329,13266,9845,780,673,1765,856,182,11371,1258,925,4219,1852,3117,47384,3272,2366,6721,4119,1485,18512,10909,5638,29421,51892,490,63254,4531,785,765,1995,2216,902,1901,11397,346,121,173,131,25,47,47051,2387,319,308,1062,917,402,968,4806,1798,345,284,802,1274,453,933,62345,50680,11665,11665,10972,5246,5726,3113,2613,693,63316,47804,43819,26689,17130,3985,15512,15512,4512,1026,760,480,232,48,46,11,45,145,19,1452,48,41,682,540,68,73,0,426,0,342,14,70,0,1608,14,0,43,0,35,63,10,0,0,12,670,120,420,98,0,22,101,0,3185,1586,1314,1068,97,149,55,212,5,752,0,226,386,20,0,5,99,0,0,16,294,0,0,0,131,0,80,45,18,20,0,553,0,355,12,0,74,10,0,0,70,0,32,0,326,90,0,13,44,33,0,0,0,134,18,82,0,34,102,102,0,0,0,0,0,0,0,0,0,623,623,543,80,0,0,6866,6472,3412,0,0,137,0,3175,0,99,0,0,0,0,1,1063,753,23,23,60,140,21,18,25,0,1997,189,25,442,58,554,284,14,76,0,355,0,394,394,0,15512,7368,8144,15512,4576,58770,31121,27649,8876,13885,5390,1347,112,5626,1296,1388,565,1880,291,286,16,1284,667,11,6,76,18,745,416,112,13,1009,86,58770,31121,27649,13885,1347,5626,1388,1880,286,1284,11,76,745,112,1009,8876,5390,112,1296,565,291,16,667,6,18,416,13,86,63316,0,69,0,3120,584,14,24,29,286,88,0,68,12,133,122,0,272,190,0,79,211,681,43,0,223,0,0,258,54,106,38,137,507,1445,3369,0,1726,112,1474,240,4560,0,462,3,1468,19,128,4858,249,4316,0,83,0,9,77,11,223,402,0,3014,377,433,1443,209,122,834,45,0,79,19,0,490,50,46,118,0,0,65,0,0,12,20,0,0,0,65,114,521,150,125,383,404,315,13,0,0,0,0,0,68,82,107,0,34,11,12,24491,13111,26955,25075,24590
NTA2020,0,South Williamsburg,BK0103,Brooklyn,10613,8711,5654,7408,5033,448,181,855,440,1902,1638,793,5766,2525,4.41,5.06,46758,10613,7498,26853,1045,324,425,16,12946,4467,7601,89,309,480,12955,3938,7544,362,636,475,129,63,21580,1899,2151,10575,4308,2647,18556,1909,3655,7312,2412,556,1539,1173,5564,2712,22729,200,46882,3324,708,605,1166,2132,858,1398,24335,508,69,124,282,142,175,18789,1321,220,235,514,775,236,372,3758,1495,419,246,370,1215,447,1026,45566,43010,2556,2556,2483,2079,404,57,347,73,47065,42272,40904,39837,1067,1368,4793,4793,2117,276,215,102,113,0,39,7,0,15,0,413,21,165,15,212,0,0,0,21,0,15,0,6,0,1370,0,0,0,0,182,651,0,0,0,0,38,409,38,24,0,0,28,37,912,136,38,33,0,5,0,98,0,143,0,0,1,0,0,0,40,0,102,0,0,0,0,0,0,0,0,0,0,0,0,633,0,633,0,0,0,0,0,0,0,0,0,0,106,32,0,32,0,0,0,0,0,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37,0,0,0,1621,1324,648,0,2,0,0,546,0,36,29,0,35,0,0,307,252,0,0,20,17,18,0,0,0,369,17,0,48,0,33,103,0,13,11,19,125,297,297,0,4793,3816,977,4793,375,38927,6642,32285,13548,2984,1462,242,31,27389,11331,118,48,154,56,70,70,26,21,0,0,0,0,126,87,0,0,1176,442,38927,6642,32285,2984,242,27389,118,154,70,26,0,0,126,0,1176,13548,1462,31,11331,48,56,70,21,0,0,87,0,442,47065,0,28,0,3975,60,0,0,0,11,0,13,0,0,36,0,0,12,42,0,78,0,6,0,0,100,0,0,0,0,96,98,7,0,2412,474,0,5093,24,8,0,180,0,11,0,8589,0,0,531,187,399,93,11,0,0,0,0,0,0,0,1079,0,1372,225,0,0,0,0,0,70,0,0,78,0,32,0,0,0,0,0,0,0,0,0,0,0,46,0,6,25,0,146,0,156,0,0,0,0,0,0,89,29,0,0,38,0,0,13744,11713,10613,5700,3890
NTA2020,0,East Williamsburg,BK0104,Brooklyn,22665,11203,3832,5653,1968,973,181,4577,1683,11462,6924,1736,4652,4792,2.31,2.95,52394,22665,5709,11856,4261,5872,2031,210,21671,13459,6907,297,312,696,24375,13402,6195,868,1887,2023,1034,371,10223,640,448,3487,1979,3669,39348,4031,3872,7230,4873,2080,11972,5290,7903,17262,44660,420,53468,6926,902,1496,2663,4235,1195,2556,8808,513,0,313,175,25,52,38715,3681,271,807,1724,2013,480,1055,5945,2732,631,376,764,2197,663,1501,52746,43781,8965,8965,8264,4780,3484,1879,1605,701,53478,41240,37216,24315,12901,4024,12238,12238,3080,526,360,279,81,0,93,24,0,21,28,688,0,0,472,72,56,88,0,690,0,668,0,22,0,1176,83,31,19,101,15,0,0,70,0,0,596,23,133,53,0,22,30,0,3380,2316,2050,1981,14,55,135,131,0,606,20,203,204,0,12,0,115,10,42,0,296,0,1,0,13,9,200,33,0,40,0,162,0,74,0,0,22,15,0,2,49,0,0,0,123,3,0,0,0,3,22,0,22,49,49,0,0,0,0,0,0,49,0,49,0,0,0,0,0,236,236,206,30,0,0,5419,5188,1923,0,0,188,0,1323,0,25,223,16,63,0,85,1157,387,0,13,572,97,51,21,16,0,2108,118,0,137,77,324,907,188,89,0,268,0,231,231,0,12238,6439,5799,12238,3503,50478,27966,22512,9278,14058,6075,600,43,1016,303,1027,415,1748,359,153,45,3038,1736,85,32,94,0,415,174,61,25,217,71,50478,27966,22512,14058,600,1016,1027,1748,153,3038,85,94,415,61,217,9278,6075,43,303,415,359,45,1736,32,0,174,25,71,53478,35,84,0,1463,235,59,0,0,81,0,0,0,35,60,26,0,95,89,0,48,222,477,11,9,31,0,0,119,31,249,60,135,700,408,1835,0,552,92,940,108,2916,0,271,95,891,59,56,3324,56,3865,0,256,0,28,0,49,211,396,0,1489,140,92,575,71,94,457,65,71,754,26,0,340,11,0,0,0,0,60,0,0,0,10,0,0,0,194,65,329,133,78,208,51,918,12,0,0,0,201,0,68,373,47,0,226,13,14,26479,11219,22665,20390,19464
NTA2020,0,Brooklyn Heights,BK0201,Brooklyn,11857,5389,2346,4602,1922,183,137,604,287,6468,5395,1860,2463,3189,1.92,2.75,22768,11857,4656,4499,289,449,1018,101,9540,3782,4949,120,126,563,11507,5188,4913,53,419,934,131,82,5070,455,295,1532,466,2322,18637,204,235,698,997,392,7181,8930,439,16111,20593,615,24763,1977,426,420,495,957,328,644,4170,13,0,0,13,0,0,16652,712,61,317,247,106,109,83,3941,1252,365,103,235,851,219,561,24310,19281,5029,5029,4496,1459,3037,1237,1800,533,24775,21554,20896,11411,9485,658,3221,3221,1202,353,276,222,54,0,34,0,21,22,0,216,28,27,93,68,0,0,0,150,65,8,11,66,0,483,35,0,0,12,7,19,23,0,0,19,45,18,144,129,0,0,32,0,1190,718,448,267,126,55,168,102,0,171,0,0,110,56,0,0,5,0,0,0,161,0,0,0,14,0,98,20,0,29,0,116,0,39,0,0,0,0,0,10,67,0,0,24,153,0,0,0,0,0,0,0,0,0,0,0,0,0,94,82,12,59,0,0,0,0,12,47,0,102,102,54,48,0,0,574,443,111,0,0,14,0,25,20,0,44,0,8,0,0,159,66,0,0,0,80,0,0,13,0,173,10,0,19,32,1,9,3,19,20,60,0,131,131,0,3221,1698,1523,3221,1098,22935,19121,3814,848,875,216,652,11,267,40,312,73,396,30,127,0,596,281,34,24,73,8,245,57,100,10,137,98,22935,19121,3814,875,652,267,312,396,127,596,34,73,245,100,137,848,216,11,40,73,30,0,281,24,8,57,10,98,24775,0,48,0,1145,280,20,0,0,64,0,0,56,20,120,0,11,33,324,0,55,0,334,0,16,53,0,0,69,0,117,10,94,240,758,2414,9,780,41,889,65,2732,0,282,16,164,37,255,3964,67,2329,37,270,0,10,0,16,206,122,7,1555,119,191,1512,27,98,441,65,0,103,6,0,115,13,0,0,0,0,0,0,12,0,13,0,0,0,30,47,396,143,67,145,210,255,0,0,0,0,58,0,30,110,14,0,72,0,10,7000,4022,11857,11688,11423
NTA2020,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,17219,8303,3674,5712,2631,626,321,1965,722,8916,5829,965,3982,2394,2.19,2.94,37760,17219,5769,8544,1773,2132,2323,177,14889,7434,6295,271,333,556,16871,7926,6337,454,618,1536,252,50,8238,703,559,3054,825,3097,28523,1171,821,3262,1957,725,10383,10204,1992,20587,31091,383,38277,3271,574,999,1141,1780,725,1351,7445,176,0,110,66,0,25,27855,1902,214,641,869,799,432,671,2977,1193,360,248,206,981,268,680,37750,29477,8273,8273,7763,3501,4262,2320,1942,510,38546,29131,27984,16693,11291,1147,9415,9415,2087,686,512,307,188,17,99,17,0,5,53,332,0,0,155,119,47,11,0,288,46,188,0,54,0,781,0,5,42,21,63,11,0,0,0,22,125,7,263,98,7,46,71,0,4217,3000,2281,1905,204,172,154,565,0,614,0,175,291,25,0,0,7,40,39,37,259,0,0,0,63,0,125,29,32,10,0,340,0,83,0,0,18,48,0,38,84,7,62,4,290,35,0,0,0,35,0,0,0,45,11,19,0,15,101,101,0,109,0,56,0,53,0,0,0,182,182,182,0,0,0,2639,2380,1431,0,0,28,0,790,9,142,170,11,242,0,39,213,140,0,0,29,15,20,0,9,0,736,45,0,210,88,102,34,123,20,0,114,0,259,259,0,9415,4171,5244,9415,3596,35518,24413,11105,3098,3925,1165,398,79,122,0,823,268,1255,177,524,44,3067,1212,25,0,109,14,308,42,183,21,366,76,35518,24413,11105,3925,398,122,823,1255,524,3067,25,109,308,183,366,3098,1165,79,0,268,177,44,1212,0,14,42,21,76,38546,18,99,0,1380,588,78,10,0,149,78,0,69,4,207,208,0,235,159,0,15,75,475,42,26,112,0,0,165,55,81,0,67,207,563,2487,15,952,53,657,241,2642,0,252,200,376,8,35,3726,43,2545,38,77,25,23,0,0,80,260,8,1754,94,38,1165,101,132,353,143,0,33,0,0,578,0,22,0,0,0,67,0,0,80,22,0,0,0,387,0,319,118,88,209,177,1387,0,156,0,0,31,0,548,200,170,0,376,0,33,17043,6077,17219,16303,16038
NTA2020,0,Fort Greene,BK0203,Brooklyn,14592,6593,3025,3875,1816,628,219,2090,990,7999,5278,1133,3438,2670,2.29,3.27,33351,14592,4168,8777,2023,2018,1773,175,13495,7766,4659,222,144,704,15737,8437,4527,374,653,1746,392,95,7667,490,612,2540,1372,2653,25348,1384,1540,3353,3249,1267,8143,6412,2924,14555,28364,466,34329,4017,504,851,1659,2097,787,1672,6678,259,20,88,105,134,84,24319,2377,279,385,1084,941,194,756,3332,1381,205,378,470,1022,509,916,34632,28900,5732,5732,5516,2907,2609,1430,1179,216,35051,27915,26514,16718,9796,1401,7136,7136,1310,580,524,439,85,0,28,7,0,13,8,324,21,12,215,58,11,7,0,76,12,21,0,43,0,330,22,0,6,11,16,0,8,9,9,8,26,39,85,45,0,10,36,0,2286,1604,1391,1155,55,181,30,183,0,314,0,54,142,75,11,0,7,8,17,0,214,0,5,0,18,6,102,1,11,71,0,154,0,20,0,7,13,8,46,9,9,0,42,0,455,19,0,9,0,10,0,0,0,42,0,26,16,0,46,46,0,348,0,52,0,180,104,12,0,78,78,78,0,0,0,3007,2805,1567,0,106,10,0,656,7,120,371,33,179,0,85,355,193,0,0,108,0,11,0,43,0,883,56,0,125,7,48,288,186,103,0,11,59,202,202,0,7136,3936,3200,7136,1986,32743,23813,8930,3225,4036,1453,934,234,147,0,209,23,711,127,202,67,1720,998,23,0,76,65,267,30,58,35,547,193,32743,23813,8930,4036,934,147,209,711,202,1720,23,76,267,58,547,3225,1453,234,0,23,127,67,998,0,65,30,35,193,35051,0,22,0,526,208,0,0,8,44,22,0,88,12,34,0,0,96,82,0,27,26,297,6,0,78,0,0,17,0,31,0,31,214,393,2094,11,360,70,597,68,1655,0,315,205,73,0,182,2557,10,1687,18,121,11,9,0,0,45,227,12,895,104,115,564,37,53,535,29,0,10,0,0,945,55,2,39,6,104,216,48,104,0,0,0,0,0,374,20,229,119,9,159,108,1536,0,186,0,0,100,0,198,654,289,0,109,0,0,15756,8559,14592,13411,12981
NTA2020,0,Clinton Hill,BK0204,Brooklyn,12726,5047,1996,3333,1365,481,187,1233,444,7679,5222,1548,2180,2788,2.01,2.78,25521,12726,3346,4728,928,2450,1343,109,10305,5403,3666,379,153,704,13840,8085,3458,292,842,1163,215,107,5467,486,132,1216,431,3202,20720,615,537,1836,1800,984,8783,6165,1152,14948,23754,537,27317,2549,508,306,658,1443,435,998,3579,25,0,15,10,0,0,20329,951,181,138,450,272,191,292,3409,1573,327,153,198,1171,244,706,26990,21897,5093,5093,4669,2229,2440,754,1686,424,27368,22287,21512,11951,9561,775,5081,5081,1098,395,233,114,107,12,26,102,0,10,24,360,10,0,190,53,90,17,0,138,8,52,0,60,18,205,7,8,26,0,0,0,9,0,0,0,0,0,58,97,0,0,0,0,1306,772,480,413,39,28,42,250,0,317,0,0,263,16,20,0,18,0,0,0,73,0,0,0,30,0,36,0,0,7,0,136,0,100,12,0,0,0,0,0,24,0,0,8,267,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,10,227,0,37,12,178,0,0,2,120,120,93,27,0,0,2290,2128,1207,0,67,0,24,326,0,275,170,53,143,0,149,491,156,29,0,39,151,56,0,60,0,430,61,0,63,28,43,59,171,5,0,0,0,162,162,0,5081,2809,2272,5081,1472,25556,20177,5379,1078,1939,514,636,55,284,65,325,66,604,33,390,131,567,167,16,0,21,0,135,25,8,0,454,22,25556,20177,5379,1939,636,284,325,604,390,567,16,21,135,8,454,1078,514,55,65,66,33,131,167,0,0,25,0,22,27368,0,7,0,1206,213,0,0,0,35,0,0,45,0,178,51,0,56,120,0,11,8,295,26,0,68,9,0,29,0,132,11,302,384,404,1887,8,354,106,977,82,1693,0,154,180,78,0,6,2754,53,1765,35,63,0,22,25,42,62,117,0,861,62,65,603,114,260,502,55,0,20,21,0,308,7,0,0,0,0,122,0,0,0,29,0,25,0,150,12,236,60,43,150,242,1782,0,70,39,0,55,0,451,656,347,0,180,16,7,11051,5141,12726,12088,11827
NTA2020,0,Bedford-Stuyvesant (West),BK0301,Brooklyn,32356,16452,7644,9167,4872,1441,391,5844,2381,15904,9740,2268,8803,5117,2.73,3.67,88210,32356,9234,27465,7227,8561,3367,381,31474,18299,10684,780,469,1242,38829,22191,10383,1704,1797,2754,1582,489,24366,2185,1654,9073,5177,6277,58440,3461,5428,12200,7309,3083,17317,9642,8889,26959,66718,1173,89080,8166,1157,1517,3288,4857,1805,2865,22482,637,141,175,503,108,198,60313,4746,500,899,2144,2500,974,1773,6285,2783,516,443,641,2249,633,1092,87805,76673,11132,11132,10785,7050,3735,1650,2085,347,89224,73574,70939,50547,20392,2635,15650,15650,2056,572,283,141,121,21,140,24,26,82,17,798,46,37,285,264,29,119,18,213,40,96,19,58,0,473,17,19,0,0,21,9,0,0,0,12,63,17,125,128,20,0,42,0,2533,1208,742,473,77,192,282,184,0,729,0,298,211,160,7,0,25,0,28,0,140,0,0,0,0,0,54,43,43,0,0,456,0,267,0,0,8,0,0,90,32,0,59,0,781,75,0,0,44,31,0,0,0,151,57,48,17,29,51,51,0,485,0,75,0,61,0,349,19,143,130,120,10,0,13,10137,9721,6310,0,438,18,25,2437,169,776,703,434,1050,5,255,1533,969,35,0,68,56,137,0,268,0,1878,63,0,152,7,227,245,770,240,14,160,0,416,416,0,15650,8369,7281,15650,4242,82025,53461,28564,9796,11845,3973,1904,607,9258,4271,491,85,1479,153,152,54,1218,409,0,0,53,0,642,87,315,54,1207,103,82025,53461,28564,11845,1904,9258,491,1479,152,1218,0,53,642,315,1207,9796,3973,607,4271,85,153,54,409,0,0,87,54,103,89224,0,71,0,3904,654,141,11,0,153,65,12,18,69,248,38,0,24,412,101,113,100,629,0,24,111,0,0,37,17,139,0,136,417,968,2084,36,2421,72,1355,246,3539,25,472,648,4910,17,175,3791,175,3119,26,138,18,16,0,12,43,278,32,2314,283,928,731,25,308,619,0,0,17,7,0,1590,0,50,28,44,0,544,0,29,0,28,25,0,0,785,69,359,286,59,299,72,5633,0,846,31,0,790,13,1163,1037,816,106,1080,0,73,39625,19899,32356,29255,27236
NTA2020,0,Bedford-Stuyvesant (East),BK0302,Brooklyn,34933,19554,7749,8484,3499,2400,583,8670,3667,15379,10551,2926,9743,8634,2.6,3.35,90712,34933,8510,24970,12528,6993,2778,408,34885,20226,10769,850,692,2348,42170,23168,10199,1501,3298,4004,3043,868,20791,1421,1040,8783,4009,5538,65736,3148,4879,18720,8785,4275,15858,10071,8027,25929,73938,1648,91929,9978,1042,1770,3099,6714,2202,3682,18310,628,27,112,471,43,113,62407,4955,466,1066,1755,2791,846,1821,11212,4395,549,592,873,3880,1243,1861,91571,82431,9140,9140,8602,5091,3511,1322,2189,538,92298,73598,71258,52498,18760,2340,18700,18700,1867,620,485,409,59,17,70,0,61,4,0,379,21,25,181,104,29,19,0,158,16,75,0,67,0,698,0,28,11,23,71,38,0,0,0,0,118,19,155,181,0,0,54,12,2044,837,551,456,22,73,98,188,0,924,0,616,62,77,26,54,12,0,66,11,155,0,0,0,53,0,37,10,19,36,0,128,0,25,0,13,0,0,0,23,46,21,0,0,1455,84,11,0,28,45,15,0,15,39,26,13,0,0,49,49,0,999,17,93,25,475,13,376,269,183,183,163,20,0,0,13151,12814,9047,0,1333,59,174,2110,375,835,1285,375,2003,20,478,1459,414,244,54,199,110,151,1,286,0,2308,7,0,50,80,234,210,1595,21,13,86,12,337,299,38,18700,11328,7372,18700,4079,87409,68741,18668,6161,11093,3845,2406,909,411,123,596,242,1630,267,141,10,735,363,42,0,37,0,235,66,68,0,1274,336,87409,68741,18668,11093,2406,411,596,1630,141,735,42,37,235,68,1274,6161,3845,909,123,242,267,10,363,0,0,66,0,336,92298,0,0,0,2965,200,64,0,0,34,0,22,0,36,57,104,0,90,68,0,34,59,325,11,0,143,0,0,48,25,127,0,55,234,292,1497,21,719,29,1077,96,2432,0,191,1875,129,0,141,2783,9,1744,0,80,0,29,10,31,16,380,0,852,376,36,700,31,235,552,41,85,57,0,0,2997,40,11,103,28,23,722,129,26,0,42,0,0,0,1726,175,320,42,60,282,179,10608,0,1262,110,27,738,0,1353,1792,1219,15,4659,0,10,52593,15229,34933,32720,29568
