column_name,code,units,description,format
GeoType,GeoType,NA,0,STRING
NTAType,NTAType,NA,0,INTEGER
GeoName,GeoName,NA,0,STRING
GeoID,GeoID,NA,0,STRING
Borough,Borough,NA,0,STRING
Pop16plE,Pop16pl,Persons,EMPLOYMENT STATUS|Population 16 years and over,
LFE,LF,Persons,EMPLOYMENT STATUS|Population 16 years and over|In labor force,
CvLF1E,CvLF1,Persons,EMPLOYMENT STATUS|Population 16 years and over|In labor force|Civilian labor force,
CvEm16pl1E,CvEm16pl1,Persons,EMPLOYMENT STATUS|Population 16 years and over|In labor force|Civilian labor force|Employed,
CvLFUEm1E,CvLFUEm1,Persons,EMPLOYMENT STATUS|Population 16 years and over|In labor force|Civilian labor force|Unemployed,
LFArmdFE,LFArmdF,Persons,EMPLOYMENT STATUS|Population 16 years and over|In labor force|Armed Forces,
NLF1E,NLF1,Persons,EMPLOYMENT STATUS|Population 16 years and over|Not in labor force,
CvLF2E,CvLF2,Persons,EMPLOYMENT STATUS|Civilian labor force,
CvLFUEm2E,CvLFUEm2,Persons,EMPLOYMENT STATUS|Civilian labor force|Unemployed,
F16plE,F16pl,Persons,EMPLOYMENT STATUS|Females 16 years and over,
F16plLFE,F16plLF,Persons,EMPLOYMENT STATUS|Females 16 years and over|In labor force,
F16plCvLFE,F16plCvLF,Persons,EMPLOYMENT STATUS|Females 16 years and over|In labor force|Civilian labor force,
F16plCLFEE,F16plCLFE,Persons,EMPLOYMENT STATUS|Females 16 years and over|In labor force|Civilian labor force|Employed,
OChU6E,OChU6,Persons,EMPLOYMENT STATUS|Own children under 6 years,
OChU6PLFE,OChU6PLF,Persons,EMPLOYMENT STATUS|Own children under 6 years|All parents in family in labor force,
OCh6t17E,OCh6t17,Persons,EMPLOYMENT STATUS|Own children 6 to 17 years,
OC6t17PLFE,OC6t17PLF,Persons,EMPLOYMENT STATUS|Own children 6 to 17 years|All parents in family in labor force,
Wrkr16plE,Wrkr16pl,Persons,COMMUTE TO WORK|Workers 16 years and over,
CW_DrvAlnE,CW_DrvAln,Persons,"COMMUTE TO WORK|Workers 16 years and over|Car, truck, or van -- drove alone",
CW_CrpldE,CW_Crpld,Persons,"COMMUTE TO WORK|Workers 16 years and over|Car, truck, or van -- carpooled",
CW_PbTrnsE,CW_PbTrns,Persons,COMMUTE TO WORK|Workers 16 years and over|Public transportation,
CW_WlkdE,CW_Wlkd,Persons,COMMUTE TO WORK|Workers 16 years and over|Walked,
CW_OthE,CW_Oth,Persons,COMMUTE TO WORK|Workers 16 years and over|Other means,
CW_WrkdHmE,CW_WrkdHm,Persons,COMMUTE TO WORK|Workers 16 years and over|Worked at home,
MnTrvTmE,MnTrvTm,Persons,COMMUTE TO WORK|Workers 16 years and over|Mean travel time to work (minutes),
CvEm16pl2E,CvEm16pl2,Persons,OCCUPATION|Civilian employed population 16 years and over,
MgBSciArtE,MgBSciArt,Persons,"OCCUPATION|Civilian employed population 16 years and over|Management, business, science, and arts",
SrvcE,Srvc,Persons,OCCUPATION|Civilian employed population 16 years and over|Service,
SalesOffE,SalesOff,Persons,OCCUPATION|Civilian employed population 16 years and over|Sales and office,
NRCnstMntE,NRCnstMnt,Persons,"OCCUPATION|Civilian employed population 16 years and over|Natural resources, construction, and maintenance",
PrdTrnsMME,PrdTrnsMM,Persons,"OCCUPATION|Civilian employed population 16 years and over|Production, transportation, and material moving",
CvEm16pl3E,CvEm16pl3,Persons,INDUSTRY|Civilian employed population 16 years and over,
AgFFHME,AgFFHM,Persons,"INDUSTRY|Civilian employed population 16 years and over|Agriculture, forestry, fishing and hunting, and mining",
ConstctnE,Constctn,Persons,INDUSTRY|Civilian employed population 16 years and over|Construction,
MnfctrngE,Mnfctrng,Persons,INDUSTRY|Civilian employed population 16 years and over|Manufacturing,
