column_name,code,units,description,format
GeoType,GeoType,,Type of Geography,STRING
NTAType,NTAType,,"Type of Neighborhood Tabulation Area (0=Residential, 9=Park, 8=Airport, 7=Cemetery, 6=Other Special Areas, 5=Rikers Island)",INTEGER
GeogName,GeogName,,Neighborhood Tabulation Area Name,STRING
GeoID,GeoID,,Neighborhood Tabulation Area Code,STRING
Borough,Borough,,Borough,STRING
HU1E,HU1,,HOUSING OCCUPANCY; Total housing units: [Total housing units],
OcHU1E,OcHU1,,HOUSING OCCUPANCY; Total housing units: [Occupied housing units],
VacHUE,VacHU,,HOUSING OCCUPANCY; Total housing units: [Vacant housing units],
HOVacRtE,HOVacRt,,HOUSING OCCUPANCY; Total housing units: [Homeowner vacancy rate],
RntVacRtE,RntVacRt,,HOUSING OCCUPANCY; Total housing units: [Rental vacancy rate],
HU2E,HU2,,UNITS IN STRUCTURE; Total housing units: [Total housing units],
HU1uDE,HU1uD,,"UNITS IN STRUCTURE; Total housing units: [1-unit, detached]",
HU1uAE,HU1uA,,"UNITS IN STRUCTURE; Total housing units: [1-unit, attached]",
HU2uE,HU2u,,UNITS IN STRUCTURE; Total housing units: [2 units],
HU3t4uE,HU3t4u,,UNITS IN STRUCTURE; Total housing units: [3 or 4 units],
HU5t9uE,HU5t9u,,UNITS IN STRUCTURE; Total housing units: [5 to 9 units],
HU10t19uE,HU10t19u,,UNITS IN STRUCTURE; Total housing units: [10 to 19 units],
HU20pluE,HU20plu,,UNITS IN STRUCTURE; Total housing units: [20 or more units],
MobHmE,MobHm,,UNITS IN STRUCTURE; Total housing units: [Mobile home],
BtRVVEtcE,BtRVVEtc,,"UNITS IN STRUCTURE; Total housing units: [Boat, RV, van, etc.]",
HU3E,HU3,,YEAR STRUCTURE BUILT; Total housing units: [Total housing units],
Blt10LtrE,Blt10Ltr,,YEAR STRUCTURE BUILT; Total housing units: [Built 2010 or later],
Blt00t09E,Blt00t09,,YEAR STRUCTURE BUILT; Total housing units: [Built 2000 to 2009],
Blt90t99E,Blt90t99,,YEAR STRUCTURE BUILT; Total housing units: [Built 1990 to 1999],
Blt80t89E,Blt80t89,,YEAR STRUCTURE BUILT; Total housing units: [Built 1980 to 1989],
Blt70t79E,Blt70t79,,YEAR STRUCTURE BUILT; Total housing units: [Built 1970 to 1979],
Blt60t69E,Blt60t69,,YEAR STRUCTURE BUILT; Total housing units: [Built 1960 to 1969],
Blt50t59E,Blt50t59,,YEAR STRUCTURE BUILT; Total housing units: [Built 1950 to 1959],
Blt40t49E,Blt40t49,,YEAR STRUCTURE BUILT; Total housing units: [Built 1940 to 1949],
BltBf39E,BltBf39,,YEAR STRUCTURE BUILT; Total housing units: [Built 1939 or earlier],
HU4E,HU4,,ROOMS; Total housing units: [Total housing units],
Rms1E,Rms1,,ROOMS; Total housing units: [1 room],
Rms2E,Rms2,,ROOMS; Total housing units: [2 rooms],
Rms3E,Rms3,,ROOMS; Total housing units: [3 rooms],
Rms4E,Rms4,,ROOMS; Total housing units: [4 rooms],
Rms5E,Rms5,,ROOMS; Total housing units: [5 rooms],
Rms6E,Rms6,,ROOMS; Total housing units: [6 rooms],
Rms7E,Rms7,,ROOMS; Total housing units: [7 rooms],
Rms8E,Rms8,,ROOMS; Total housing units: [8 rooms],
Rms9plE,Rms9pl,,ROOMS; Total housing units: [9 rooms or more],
MdRmsE,MdRms,,ROOMS; Total housing units: [Median rooms],
OcHU2E,OcHU2,,HOUSING TENURE; Occupied housing units: [Occupied housing units],
OOcHU1E,OOcHU1,,HOUSING TENURE; Occupied housing units: [Owner-occupied],
ROcHU1E,ROcHU1,,HOUSING TENURE; Occupied housing units: [Renter-occupied],
AvgHHSOOcE,AvgHHSOOc,,HOUSING TENURE; Occupied housing units: [Average household size of owner-occupied unit],
AvgHHSROcE,AvgHHSROc,,HOUSING TENURE; Occupied housing units: [Average household size of renter-occupied unit],
OcHU3E,OcHU3,,YEAR HOUSEHOLDER MOVED INTO UNIT; Occupied housing units: [Occupied housing units],
Mv10LtrE,Mv10Ltr,,YEAR HOUSEHOLDER MOVED INTO UNIT; Occupied housing units: [Moved in 2010 or later],
Mv00t09E,Mv00t09,,YEAR HOUSEHOLDER MOVED INTO UNIT; Occupied housing units: [Moved in 2000 to 2009],
Mv90t99E,Mv90t99,,YEAR HOUSEHOLDER MOVED INTO UNIT; Occupied housing units: [Moved in 1990 to 1999],
MvBf89EE,MvBf89E,,YEAR HOUSEHOLDER MOVED INTO UNIT; Occupied housing units: [Moved in 1989 or earlier],
OcHU4E,OcHU4,,VEHICLES AVAILABLE; Occupied housing units: [Occupied housing units],
NoVhclAvE,NoVhclAv,,VEHICLES AVAILABLE; Occupied housing units: [No vehicles available],
Vhcl1AvE,Vhcl1Av,,VEHICLES AVAILABLE; Occupied housing units: [1 vehicle available],
Vhcl2AvE,Vhcl2Av,,VEHICLES AVAILABLE; Occupied housing units: [2 vehicles available],
Vhcl3plAvE,Vhcl3plAv,,VEHICLES AVAILABLE; Occupied housing units: [3 or more vehicles available],
OcHU5E,OcHU5,,OCCUPANTS PER ROOM; Occupied housing units: [Occupied housing units],
OcPR0t1E,OcPR0t1,,OCCUPANTS PER ROOM; Occupied housing units: [1.00 or less],
OcPR1plE,OcPR1pl,,OCCUPANTS PER ROOM; Occupied housing units: [1.01 or more],
OcPR1p5plE,OcPR1p5pl,,OCCUPANTS PER ROOM; Occupied housing units: [1.51 or more],
OOcHU2E,OOcHU2,,VALUE; Owner-occupied units: [Owner-occupied units],
VlU50E,VlU50,,"VALUE; Owner-occupied units: [Less than $50,000]",
Vl50t99E,Vl50t99,,"VALUE; Owner-occupied units: [$50,000 to $99,999]",
Vl100t149E,Vl100t149,,"VALUE; Owner-occupied units: [$100,000 to $149,999]",
Vl150t199E,Vl150t199,,"VALUE; Owner-occupied units: [$150,000 to $199,999]",
Vl200t299E,Vl200t299,,"VALUE; Owner-occupied units: [$200,000 to $299,999]",
Vl300t499E,Vl300t499,,"VALUE; Owner-occupied units: [$300,000 to $499,999]",
Vl500t999E,Vl500t999,,"VALUE; Owner-occupied units: [$500,000 to $999,999]",
Vl1milplE,Vl1milpl,,"VALUE; Owner-occupied units: [$1,000,000 or more]",
MdVlE,MdVl,,VALUE; Owner-occupied units: [Median (dollars)],
OOcHU3E,OOcHU3,,MORTGAGE STATUS; Owner-occupied units: [Owner-occupied units],
HUwMrtgE,HUwMrtg,,MORTGAGE STATUS; Owner-occupied units: [Housing units with a mortgage],
HUnoMrtg1E,HUnoMrtg1,,MORTGAGE STATUS; Owner-occupied units: [Housing units without a mortgage],
HUwMrtgExE,HUwMrtgEx,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)],
SMPU20E,SMPU20,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [Less than 20.0 percent],
SMP20t24E,SMP20t24,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [20.0 to 24.9 percent],
SMP25t29E,SMP25t29,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [25.0 to 29.9 percent],
SMP30t34E,SMP30t34,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [30.0 to 34.9 percent],
SMP35plE,SMP35pl,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [35.0 percent or more],
SMPNtCE,SMPNtC,,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI); Housing units with a mortgage (excluding units where SMOCAPI cannot be computed): [Not computed],
HUnoMrtg2E,HUnoMrtg2,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)],
NMSMPU10E,NMSMPU10,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [Less than 10.0 percent],
NMSMP1014E,NMSMP1014,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [10.0 to 14.9 percent],
NMSMP1519E,NMSMP1519,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [15.0 to 19.9 percent],
NMSMP2024E,NMSMP2024,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [20.0 to 24.9 percent],
NMSMP2529E,NMSMP2529,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [25.0 to 29.9 percent],
