column_name,code,units,description,format
GeoType,GeoType,NA,Type of Geography,STRING
NTAType,NTAType,NA,"Type of Neighborhood Tabulation Area (0=Residential, 9=Park, 8=Airport, 7=Cemetery, 6=Other Special Areas, 5=Rikers Island)",INTEGER
GeogName,GeogName,NA,Neighborhood Tabulation Area Name,STRING
GeoID,GeoID,NA,Neighborhood Tabulation Area Code,STRING
Borough,Borough,NA,Borough,STRING
HH1E,HH1,Households,HOUSEHOLD TYPE|Total households,
Fam1E,Fam1,Households,HOUSEHOLD TYPE|Total households|Family households (families),
FamChU18E,FamChU18,Households,HOUSEHOLD TYPE|Total households|Family households (families) | With own children under 18 years,
MrdFamE,MrdFam,Households,HOUSEHOLD TYPE|Total households|Family households (families)|Married-couple family,
MrdChU18E,MrdChU18,Households,HOUSEHOLD TYPE|Total households|Family households (families)|Married-couple family|With own children under 18 years,
MHnSE,MHnS,Households,"HOUSEHOLD TYPE|Total households|Family households (families)|Male householder, no spouse present, family",
MHnSChU18E,MHnSChU18,Households,"HOUSEHOLD TYPE|Total households|Family households (families)|Male householder, no spouse present, family|With own children under 18 years",
FHnSE,FHnS,Households,"HOUSEHOLD TYPE|Total households|Family households (families)|Female householder, no spouse present, family",
FHnSChU18E,FHnSChU18,Households,"HOUSEHOLD TYPE|Total households|Family households (families)|Female householder, no spouse present, family|With own children under 18 years",
NFam1E,NFam1,Households,HOUSEHOLD TYPE|Total households|Nonfamily households,
NFamAE,NFamA,Households,HOUSEHOLD TYPE|Total households|Nonfamily households|Householder living alone,
NFamA65plE,NFamA65pl,Households,HOUSEHOLD TYPE|Total households|Nonfamily households|Householder living alone|65 years and over,
HH1plU18E,HH1plU18,Households,HOUSEHOLD TYPE|Total households|Households with one or more people under 18 years,
HH1pl65plE,HH1pl65pl,Households,HOUSEHOLD TYPE|Total households|Households with one or more people 65 years and over,
AvgHHSzE,AvgHHSz,Households,HOUSEHOLD TYPE|Total households|Average household size,
AvgFmSzE,AvgFmSz,Households,HOUSEHOLD TYPE|Total households|Average family size,
HHPopE,HHPop,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households,
RshpHHldrE,RshpHHldr,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Householder,
Rshp_SpE,Rshp_Sp,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Spouse,
Rshp_ChE,Rshp_Ch,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Child,
Rshp_OthRE,Rshp_OthR,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Other relatives,
Rshp_NRE,Rshp_NR,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Nonrelatives,
Rshp_NRUPE,Rshp_NRUP,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Nonrelatives|Unmarried partner,
Rshp_SSUPE,Rshp_SSUP,Persons,RELATIONSHIP TO HEAD OF HOUSEHOLD (HOUSEHOLDER)|Population in households|Nonrelatives|Unmarried partner|Same sex unmarried partner,
MS_M15plE,MS_M15pl,Persons,MARITAL STATUS|Males 15 years and over,
MS_MNvMrdE,MS_MNvMrd,Persons,MARITAL STATUS|Males 15 years and over|Never married,
MS_MMrdSpE,MS_MMrdSp,Persons,"MARITAL STATUS|Males 15 years and over|Now married, except separated",
MS_MSpE,MS_MSp,Persons,MARITAL STATUS|Males 15 years and over|Separated,
MS_MWdE,MS_MWd,Persons,MARITAL STATUS|Males 15 years and over|Widowed,
MS_MDvcdE,MS_MDvcd,Persons,MARITAL STATUS|Males 15 years and over|Divorced,
MS_F15plE,MS_F15pl,Persons,MARITAL STATUS|Females 15 years and over,
MS_FNvMrdE,MS_FNvMrd,Persons,MARITAL STATUS|Females 15 years and over|Never married,
MS_FMrdSpE,MS_FMrdSp,Persons,"MARITAL STATUS|Females 15 years and over|Now married, except separated",
MS_FSpE,MS_FSp,Persons,MARITAL STATUS|Females 15 years and over|Separated,
MS_FWdE,MS_FWd,Persons,MARITAL STATUS|Females 15 years and over|Widowed,
MS_FDvcdE,MS_FDvcd,Persons,MARITAL STATUS|Females 15 years and over|Divorced,
GpLGcU18E,GpLGcU18,Persons,GRANDPARENTS|Number of grandparents living with own grandchildren under 18 years,
GpRGcU18E,GpRGcU18,Persons,GRANDPARENTS|Number of grandparents living with own grandchildren under 18 years|Responsible for grandchildren,
Pop3plEnE,Pop3plEn,Persons,SCHOOL ENROLLMENT|Population 3 years and over enrolled in school,
SE_NScPScE,SE_NScPSc,Persons,"SCHOOL ENROLLMENT|Population 3 years and over enrolled in school|Nursery school, preschool",
SE_KndgtnE,SE_Kndgtn,Persons,SCHOOL ENROLLMENT|Population 3 years and over enrolled in school|Kindergarten,
SE_G1t8E,SE_G1t8,Persons,SCHOOL ENROLLMENT|Population 3 years and over enrolled in school|Elementary school (grades 1-8),
SE_G9t12E,SE_G9t12,Persons,SCHOOL ENROLLMENT|Population 3 years and over enrolled in school|High school (grades 9-12),
SE_ClgGScE,SE_ClgGSc,Persons,SCHOOL ENROLLMENT|Population 3 years and over enrolled in school|College or graduate school,
EA_P25plE,EA_P25pl,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over,
EA_LT9GE,EA_LT9G,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Less than 9th grade,
EA_9t12NDE,EA_9t12ND,Persons,"EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|9th to 12th grade, no diploma",
EA_HScGrdE,EA_HScGrd,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|High school graduate (includes equivalency),
EA_SClgNDE,EA_SClgND,Persons,"EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Some college, no degree",
EA_AscDE,EA_AscD,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Associate's degree,
EA_BchDE,EA_BchD,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Bachelor's degree,
EA_GrdPfDE,EA_GrdPfD,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Graduate or professional degree,
EA_LTHSGrE,EA_LTHSGr,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Less than high school graduate,
EA_BchDHE,EA_BchDH,Persons,EDUCATIONAL ATTAINMENT (HIGHEST GRADE COMPLETED)|Population 25 years and over|Bachelor's degree or higher,
CvPop18plE,CvPop18pl,Persons,VETERAN STATUS|Civilian population 18 years and over,
CvVet18plE,CvVet18pl,Persons,VETERAN STATUS|Civilian population 18 years and over|Veterans,
CvNIPop1E,CvNIPop1,Persons,VETERAN STATUS,
CvNIDE,CvNID,Persons,VETERAN STATUS,
CvNID_HrgE,CvNID_Hrg,Persons,VETERAN STATUS,
CvNID_VsnE,CvNID_Vsn,Persons,VETERAN STATUS,
CvNID_CogE,CvNID_Cog,Persons,VETERAN STATUS,
CvNID_AmbE,CvNID_Amb,Persons,VETERAN STATUS,
CvNID_SCrE,CvNID_SCr,Persons,VETERAN STATUS,
CvNID_ILDE,CvNID_ILD,Persons,VETERAN STATUS,
CvNIU18_1E,CvNIU18_1,Persons,VETERAN STATUS,
CvNIU18DE,CvNIU18D,Persons,VETERAN STATUS,
CU18DHrgE,CU18DHrg,Persons,VETERAN STATUS,
CU18DVsnE,CU18DVsn,Persons,VETERAN STATUS,
CU18DCogE,CU18DCog,Persons,VETERAN STATUS,
CU18DAmbE,CU18DAmb,Persons,VETERAN STATUS,
CU18DSCrE,CU18DSCr,Persons,VETERAN STATUS,
CNI1864_1E,CNI1864_1,Persons,VETERAN STATUS,
CNI18t64DE,CNI18t64D,Persons,VETERAN STATUS,
C1864DHrgE,C1864DHrg,Persons,VETERAN STATUS,
C1864DVsnE,C1864DVsn,Persons,VETERAN STATUS,
C1864DCogE,C1864DCog,Persons,VETERAN STATUS,
C1864DAmbE,C1864DAmb,Persons,VETERAN STATUS,
C1864DSCrE,C1864DSCr,Persons,VETERAN STATUS,
C1864DILDE,C1864DILD,Persons,VETERAN STATUS,
CvNI65plE,CvNI65pl,Persons,VETERAN STATUS,
CvNI65plDE,CvNI65plD,Persons,VETERAN STATUS,
C65plDHrgE,C65plDHrg,Persons,VETERAN STATUS,
C65plDVsnE,C65plDVsn,Persons,VETERAN STATUS,
C65plDCogE,C65plDCog,Persons,VETERAN STATUS,
C65plDAmbE,C65plDAmb,Persons,VETERAN STATUS,
C65plDSCrE,C65plDSCr,Persons,VETERAN STATUS,
C65plDILDE,C65plDILD,Persons,VETERAN STATUS,
Pop1plE,Pop1pl,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over,
SmHsE,SmHs,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over|Same house,
DfHs1E,DfHs1,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over|Lived in a different house,
DfHs2E,DfHs2,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house,
DfHsUSE,DfHsUS,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Different house in the U.S.,
DfHsSmCntE,DfHsSmCnt,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Different house in the U.S.|Same county,
DfHsDfCntE,DfHsDfCnt,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Different house in the U.S.|Different county,
DHDfCntNYCE,DHDfCntNYC,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Different house in the U.S.|Different county|Within New York City,
DHnoNYCE,DHnoNYC,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Different house in the U.S.|Different county|Outside New York City,
AbroadE,Abroad,Persons,RESIDENCE 1 YEAR AGO|Population 1 year and over that lived in a different house|Abroad,
Pop_4E,Pop_4,Persons,PLACE OF BIRTH|Total population,
NtvE,Ntv,Persons,PLACE OF BIRTH|Total population|Native,
NtvUSE,NtvUS,Persons,PLACE OF BIRTH|Total population|Native|Born in United States,
NtvNYSE,NtvNYS,Persons,PLACE OF BIRTH|Total population|Native|Born in United States|Born in New York State,
NtvNotNYSE,NtvNotNYS,Persons,PLACE OF BIRTH|Total population|Native|Born in United States|Born outside New York State,
NtvPRUSAbE,NtvPRUSAb,Persons,"PLACE OF BIRTH|Total population|Native|Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",
Fb1E,Fb1,Persons,PLACE OF BIRTH|Total population|Foreign-born,
Fb2E,Fb2,Persons,PLACE OF BIRTH|Foreign-born,
EurE,Eur,Persons,PLACE OF BIRTH|Foreign-born|Europe,
NEurE,NEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe,
UntdKgdmE,UntdKgdm,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|United Kingdom (inc. Crown Dependencies),
UKnoEngScE,UKnoEngSc,Persons,"PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|United Kingdom (inc. Crown Dependencies)|United Kingdom, excluding England and Scotland ",
EngE,Eng,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|United Kingdom (inc. Crown Dependencies)|England ,
ScotE,Scot,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|United Kingdom (inc. Crown Dependencies)|Scotland ,
IrelandE,Ireland,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|Ireland ,
DenmarkE,Denmark,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|Denmark,
NorwayE,Norway,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|Norway,
SwedenE,Sweden,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|Sweden,
ONEurE,ONEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Northern Europe|Other Northern Europe ,
WEurE,WEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe,
AustriaE,Austria,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Austria ,
BelgiumE,Belgium,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Belgium,
FranceE,France,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|France ,
GermanyE,Germany,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Germany ,
NthrldsE,Nthrlds,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Netherlands ,
SwitzrldE,Switzrld,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Switzerland,
OWEurE,OWEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Western Europe|Other Western Europe ,
SEurE,SEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe,
GreeceE,Greece,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe|Greece ,
ItalyE,Italy,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe|Italy ,
PortugalE,Portugal,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe|Portugal ,
SpainE,Spain,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe|Spain ,
OSEurE,OSEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Southern Europe|Other Southern Europe ,
EEurE,EEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe,
AlbaniaE,Albania,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Albania,
BelarusE,Belarus,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Belarus,
BulgariaE,Bulgaria,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Bulgaria,
CroatiaE,Croatia,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Croatia ,
CzchslvE,Czchslv,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Czechoslovakia (includes Czech Republic and Slovakia) ,
HungaryE,Hungary,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Hungary ,
LatviaE,Latvia,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Latvia,
LthuaniaE,Lthuania,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Lithuania,
McdoniaE,Mcdonia,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|North Macedonia (Macedonia),
MoldovaE,Moldova,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Moldova,
PolandE,Poland,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Poland ,
RomaniaE,Romania,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Romania ,
RussiaE,Russia,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Russia ,
UkraineE,Ukraine,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Ukraine ,
