column_name,code,units,description,format
CAMIS,,,"Unique identifier for the establishment (restaurant)|10-digit integer, static per restaurant permit",INTEGER
DBA,,,"Establishment (restaurant) name|DBA= Doing Business As|Public business name, may change at discretion of restaurant owner",STRING
BORO,,,"Borough of establishment (restaurant) location|• 1 = MANHATTAN
• 2 = BRONX
• 3 = BROOKLYN
• 4 = QUEENS
• 5 = STATEN ISLAND
• Missing|NOTE: There may be discrepancies between zip code and listed boro due to differences in an establishment's mailing address and physical location",INTEGER
BUILDING,,,Building number for establishment (restaurant) location,STRING
STREET,,,Street name for establishment (restaurant) location,STRING
ZIPCODE,,,Zip code of establishment (restaurant) location,STRING
PHONE,,,Phone number|Phone number provided by restaurant owner/manager,STRING
CUISINE DESCRIPTION,,,Establishment (restaurant) cuisine|Optional field provided by provided by restaurant owner/manager,STRING
INSPECTION DATE,,,NOTE: Inspection dates of 1/1/1900 mean an establishment has not yet had an inspection,STRING
ACTION,,,"Action associated with each establishment (restaurant) inspection|• Violations were cited in the following area(s).
• No violations were recorded at the time of this inspection.
• Establishment re-opened by DOHMH
• Establishment re-closed by DOHMH
• Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.
• ""Missing"" = not yet inspected",STRING
VIOLATION CODE,,,Violation code associated with an establishment (restaurant) inspection,STRING
VIOLATION DESCRIPTION,,,Violation description associated with an establishment  (restaurant) inspection,STRING
CRITICAL FLAG,,,"Indicator of critical violation|• Critical
• Not Critical
• Not Applicable|Critical violations are those most likely to contribute to foodborne illness",STRING
SCORE,,,Total score for a particular inspection|Scores are updated based on adjudication results,NUMERIC
GRADE,,,"Grade associated with the inspection|• N= Not Yet Graded
• A = Grade A
• B = Grade B
• C = Grade C
• Z = Grade Pending
• P=Grade Pending issued on re-opening following an initial inspection that resulted in a closure|Grades given during a reopening inspection are derived from the previous re-inspection",STRING
GRADE DATE,,,Date when grade was issued to the establishment (restaurant),DATE
RECORD DATE,,,Date record was added to dataset|Dataset updated daily,DATE
INSPECTION TYPE,,,"A combination of the inspection program and the type of inspection performed|•Calorie Posting/ Compliance Inspection
•Calorie Posting/Initial Inspection
•Calorie Posting/ Re-Inspection
•Calorie Posting/ Second Compliance Inspection
•Cycle Inspection/Compliance Inspection
•Cycle Inspection/Initial Inspection
•Cycle Inspection/Re-Inspection
•Cycle Inspection/Reopening Inspection
•Cycle Inspection/Second Compliance Inspection
•Inter-Agency Task Force/Initial Inspection
•Inter-Agency Task Force/Re-Inspection
•Pre-Permit (Non-operational)/ Compliance Inspection
•Pre-Permit (Non-operational)/ Initial Inspection
•Pre-Permit (Non-operational)/ Re-Inspection
•Pre-Permit (Non-operational)/ Second Compliance Inspection
•Pre-Permit(Operational)/Compliance Inspection
•Pre-Permit(Operational)/Initial Inspection
•Pre-Permit(Operational)/Re-Inspection
•Pre-Permit(Operational)/Reopening Inspection
•Pre-Permit(Operational)/Second Compliance Inspection
•Smoke-Free Air Act/Complaint (Initial Inspection)
•Smoke-Free Air Act/Compliance Inspection
•Smoke-Free Air Act/Initial Inspection
•Smoke-Free Air Act/Limited Inspection
•Smoke-Free Air Act/Re-inspection
•Smoke-Free Air Act/Second Compliance Inspection
•Trans Fat/Compliance Inspection
•Trans Fat/Initial Inspection
•Trans Fat/Re-inspection
•Trans Fat/Second Compliance Inspection",STRING
Latitude,,,,FLOAT
Longitude,,,,FLOAT
Community Board,,,,INTEGER
Council District,,,,INTEGER
Census Tract,,,,INTEGER
BIN,,,,INTEGER
BBL,,,,INTEGER
NTA,,,,STRING
